women woman
men man
children child
teeth tooth
feet foot
people person
leaves leaf
mice mouse
geese goose
halves half
knives knife
wives wife
lives life
elves elf
loaves loaf
potatoes potato
tomatoes tomato
cacti cactus
foci focus
fungi fungus
nuclei nucleus
syllabi syllabus
syllabuses syllabus
analyses analysis
diagnoses diagnosis
oases oasis
theses thesis
crises crisis
phenomena phenomenon
criteria criterion
data datum
